producto;cod_barra;descripcion;precio;fecha_mod
795053;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L19 EMOTICONS;$ 128,27;15/11/2019
795056;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L21 MOTORCYCLES;$ 128,27;15/11/2019
795035;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L29 CARS;$ 128,27;15/11/2019
795028;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L32 TROPICAL;$ 128,27;15/11/2019
795024;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L34 MUSIC;$ 128,27;15/11/2019
795025;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L39 FUTBOL;$ 128,27;15/11/2019
795057;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L40 SKATE;$ 128,27;15/11/2019
795022;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L41 RUGBY;$ 128,27;15/11/2019
795058;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L42 PELOTAS I;$ 128,27;15/11/2019
795052;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L45 GOLD ANIMALS;$ 128,27;15/11/2019
795036;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L54 CLASICC;$ 128,27;15/11/2019
795054;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L55 ARTENTINO DELICIOSO;$ 128,27;15/11/2019
795027;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L59 CHIMOLA II;$ 128,27;15/11/2019
670160;7,79803E+12;CARPETA JACK 240 A4 T/CARTON MACO OFERTA;$ 32,50;20/4/2020
670495;7,79828E+12;CARPETA JURASIC PARK 3 SOLP. PPR;$ 106,70;20/4/2020
670459;7,79828E+12;CARPETA JURASIC PARK 340 CARTONE PPR;$ 218,90;20/4/2020
670483;7,79828E+12;CARPETA JURASIC PARK Nro 3 CARTONE PPR;$ 121,00;20/4/2020
670488;7,79828E+12;CARPETA JURASSIC PARK Nro 5 CARTONE PPR;$ 143,00;20/4/2020
670465;7,79834E+12;CARPETA JUST COOL 340 CARTONE PPR;$ 173,80;20/4/2020
670385;7,79812E+12;CARPETA KOSIUKO Nro 5  -4652- CARTONE;$ 28,49;20/4/2020
640029;6,92379E+12;CARPETA LAMA OFFICE CH310 A4 L *12 UNID;$ 236,18;1/2/2021
640031;6,92379E+12;CARPETA LAMA OFFICE CH310QF OF VAINA 10 UNID;$ 344,00;1/2/2021
640032;6,92379E+12;CARPETA LAMA OFFICE CH311Q A4 VAINA 10 UNID;$ 290,15;1/2/2021
640030;6,92379E+12;CARPETA LAMA OFFICE CH355 OF L *12 UNID;$ 343,99;1/2/2021
640033;6,92379E+12;CARPETA LAMA OFFICE E19F OF CLIP LATERAL * 5 U.;$ 284,71;1/2/2021
640066;6,92058E+12;CARPETA LAMA OFFICE EF202 CLASIF A4 AZUL;$ 306,16;8/4/2021
640069;6,92058E+12;CARPETA LAMA OFFICE EF202 CLASIF A4 GRIS;$ 306,16;8/4/2021
640063;6,92379E+12;CARPETA LAMA OFFICE EF202 CLASIF A4 NEGRO;$ 306,16;8/4/2021
640067;6,92058E+12;CARPETA LAMA OFFICE EF202 CLASIF A4 ROJO;$ 306,16;8/4/2021
640068;6,92058E+12;CARPETA LAMA OFFICE EF202 CLASIF A4 VERDE;$ 306,16;8/4/2021
640070;6,92058E+12;CARPETA LAMA OFFICE EF202F CLASIF OF AZUL;$ 360,77;8/4/2021
640071;6,92058E+12;CARPETA LAMA OFFICE EF202F CLASIF OF GRIS;$ 360,77;8/4/2021
640064;6,92379E+12;CARPETA LAMA OFFICE EF202F CLASIF OF NEGRO;$ 360,77;8/4/2021
640072;6,92058E+12;CARPETA LAMA OFFICE EF202F CLASIF OF ROJO;$ 360,77;8/4/2021
640073;6,92058E+12;CARPETA LAMA OFFICE EF202F CLASIF OF VERDE;$ 360,77;8/4/2021
640045;6,92379E+12;CARPETA LAMA OFFICE FM10 A4 10 FOLIOS AZUL;$ 105,33;8/4/2021
640025;6,92379E+12;CARPETA LAMA OFFICE FM10 A4 10 FOLIOS NEGRO;$ 105,33;8/4/2021
640074;6,92379E+12;CARPETA LAMA OFFICE FM10 A4 10 FOLIOS ROJO;$ 105,33;8/4/2021
640075;6,92379E+12;CARPETA LAMA OFFICE FM10 A4 10 FOLIOS VERDE;$ 105,33;8/4/2021
640026;6,92379E+12;CARPETA LAMA OFFICE FM10F OFICIO 10 FOLIOS AZUL;$ 129,59;8/4/2021
640050;6,92379E+12;CARPETA LAMA OFFICE FM10F OFICIO 10 FOLIOS NEGRO;$ 129,59;8/4/2021
640051;6,92379E+12;CARPETA LAMA OFFICE FM10F OFICIO 10 FOLIOS ROJO;$ 129,59;8/4/2021
640052;6,92379E+12;CARPETA LAMA OFFICE FM10F OFICIO 10 FOLIOS VERDE;$ 129,59;8/4/2021
640076;6,92379E+12;CARPETA LAMA OFFICE FM20 A4 20 FOLIOS AZUL;$ 140,24;8/4/2021
640017;6,92379E+12;CARPETA LAMA OFFICE FM20 A4 20 FOLIOS NEGRO;$ 140,24;8/4/2021
640077;6,92379E+12;CARPETA LAMA OFFICE FM20 A4 20 FOLIOS ROJO;$ 140,24;8/4/2021
640078;6,92379E+12;CARPETA LAMA OFFICE FM20 A4 20 FOLIOS VERDE;$ 140,24;8/4/2021
640079;6,92379E+12;CARPETA LAMA OFFICE FM20F OFICIO 20 FOLIOS AZUL;$ 165,91;8/4/2021
640011;6,92379E+12;CARPETA LAMA OFFICE FM20F OFICIO 20 FOLIOS NEGRO;$ 165,91;8/4/2021
640080;6,92379E+12;CARPETA LAMA OFFICE FM20F OFICIO 20 FOLIOS ROJO;$ 165,91;8/4/2021
640081;6,92379E+12;CARPETA LAMA OFFICE FM20F OFICIO 20 FOLIOS VERDE;$ 165,91;8/4/2021
640047;6,92379E+12;CARPETA LAMA OFFICE FM40 A4 40 FOLIOS AZUL;$ 220,37;8/4/2021
640009;6,92379E+12;CARPETA LAMA OFFICE FM40 A4 40 FOLIOS NEGRO;$ 220,37;8/4/2021
640082;6,92379E+12;CARPETA LAMA OFFICE FM40 A4 40 FOLIOS ROJO;$ 220,37;8/4/2021
640046;6,92379E+12;CARPETA LAMA OFFICE FM40 A4 40 FOLIOS VERDE;$ 220,37;8/4/2021
640083;6,92379E+12;CARPETA LAMA OFFICE FM40F OFICIO 40 FOLIOS AZUL;$ 256,07;8/4/2021
640012;6,92379E+12;CARPETA LAMA OFFICE FM40F OFICIO 40 FOLIOS NEGRO;$ 256,07;8/4/2021
640084;6,92379E+12;CARPETA LAMA OFFICE FM40F OFICIO 40 FOLIOS ROJO;$ 256,07;8/4/2021
640085;6,92379E+12;CARPETA LAMA OFFICE FM40F OFICIO 40 FOLIOS VERDE;$ 256,07;8/4/2021
